activation,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
ReLU,146,0.011672750502633724,0.9980894583052371,0.013250845483175455,0.997134670487106
ReLU,147,0.011508229717144401,0.9993818835693414,0.012919712043805778,0.9986516096409911
ReLU,148,0.011461361326638534,0.9994380759721285,0.012726419007665937,0.9988201584358671
ReLU,149,0.01141581422092419,0.9985389975275343,0.012804181174946128,0.9978088656666105
ReLU,150,0.011257443339469743,0.9995504607777028,0.012551624210475943,0.9989887072307433
Tanh,1,0.6189138803565756,0.6986963362553382,0.6202505266128433,0.6913871565818305
Tanh,2,0.510150395291063,0.819847156664419,0.5115398176651107,0.8137535816618912
Tanh,3,0.4160322164000923,0.8696898179366149,0.417248722818204,0.868531939996629
Tanh,4,0.3427713188669519,0.8953697460103394,0.3439080189243549,0.8958368447665599
Tanh,5,0.2872150970891262,0.9156552034164981,0.28846315741815276,0.9157256025619417
Tanh,6,0.24448552763202158,0.9343110811418296,0.24588878307608958,0.9312320916905444
Tanh,7,0.2114300647699001,0.9527421892560126,0.21301218783729356,0.9504466543064217
Tanh,8,0.1854769426763684,0.9651607102719713,0.18710109144612486,0.9605595819989887
Tanh,9,0.16516733574426645,0.9733648010788941,0.1667573291531466,0.9688184729479185
Tanh,10,0.14877839982591254,0.978815464149247,0.15053799599861187,0.9755604247429631
Tanh,11,0.1354515847543187,0.983928972802877,0.13715244114107614,0.9809539861789989
Tanh,12,0.12436543711930347,0.9848280512474713,0.12611665475770414,0.9816281813585033
Tanh,13,0.11505287340549644,0.9869633625533828,0.11680911810718289,0.9838193156918928
Tanh,14,0.1070915145656674,0.9888177118453585,0.10881161844710567,0.9858419012304062
Tanh,15,0.10031634517414428,0.9912901775679928,0.10211007824661604,0.9890443283330524
Tanh,16,0.09429344841552714,0.9905034839289728,0.09599343988529634,0.9882015843586718
Tanh,17,0.08923753617312101,0.98898628905372,0.09105537042158554,0.9863475476150345
Tanh,18,0.08442911115350982,0.9917959091930771,0.0861856533887002,0.9883701331535479
Tanh,19,0.08028744042465963,0.9918521015958642,0.08198241493644079,0.9893814259228046
Tanh,20,0.0765838715678156,0.9921892560125871,0.07826954482559387,0.9900556211023092
Tanh,21,0.07321759530759694,0.9937626432906271,0.07491341534345923,0.9912354626664419
Tanh,22,0.07019283139622391,0.9926949876376714,0.0718840743279786,0.9905612674869375
Tanh,23,0.06739989223497006,0.9944369521240728,0.06902238394047126,0.9922467554356986
Tanh,24,0.06491481727783373,0.9928635648460328,0.06655715549248065,0.9905612674869375
Tanh,25,0.0625578038058017,0.9946055293324343,0.06411835631308227,0.9932580482049553
Tanh,26,0.06040674873738024,0.9940436053045628,0.062027691957716395,0.9917411090510703
Tanh,27,0.058393485954383866,0.9955608001798157,0.05998281615624214,0.9941007921793359
Tanh,28,0.05654567882574358,0.9963474938188357,0.058074015516019394,0.9952806337434688
Tanh,29,0.05477732165679556,0.9956169925826028,0.05636420686280534,0.9946064385639642
Tanh,30,0.053183639300716436,0.9946617217352214,0.054763712979379,0.9922467554356986
Tanh,31,0.0516340722581005,0.9957293773881771,0.05325227364966764,0.9944378897690882
Tanh,32,0.050292336770708865,0.9938188356934142,0.05192277160264533,0.9908983650766897
Tanh,33,0.048844705901986585,0.9966284558327714,0.05028657317383812,0.9959548289229732
Tanh,34,0.04751954655772308,0.99645987862441,0.04894402353831612,0.9951120849485926
Tanh,35,0.04631500842186957,0.99645987862441,0.047806447754910816,0.9954491825383448
Tanh,36,0.045175883435728995,0.9957293773881771,0.046658579142162745,0.9947749873588404
Tanh,37,0.04405839121331337,0.9965722634299843,0.04550516590564774,0.9954491825383448
Tanh,38,0.04311140319917474,0.99527983816588,0.04464636084724371,0.9934265969998315
Tanh,39,0.042120572237427274,0.9959541469993257,0.04368766503683747,0.9949435361537164
Tanh,40,0.0411045171435633,0.9962913014160486,0.042600429134695424,0.9952806337434688
Tanh,41,0.04018878739053892,0.9962913014160486,0.041673065496196815,0.9952806337434688
Tanh,42,0.0393886477604955,0.9975837266801528,0.0406110594748977,0.997134670487106
Tanh,43,0.03852327699746901,0.9967408406383457,0.0398092469772374,0.9962919265127255
Tanh,44,0.03766898982826556,0.9975275342773657,0.03893249921987346,0.9967975728973538
Tanh,45,0.03690609526813533,0.99763991908294,0.038142906896898046,0.9973032192819822
Tanh,46,0.03625785932816418,0.99803326590245,0.03727569422212213,0.9976403168717344
Tanh,47,0.035451673832272025,0.9973027646662171,0.03680571951544779,0.9959548289229732
Tanh,48,0.034753300443389874,0.9973589570690042,0.03607096922109694,0.9964604753076015
Tanh,49,0.03409905506491654,0.9964036862216228,0.035502986904291226,0.9957862801280971
Tanh,50,0.03364380458650382,0.9958979545965385,0.03530168921479245,0.9951120849485926
Tanh,51,0.0329644875462134,0.9988761519442572,0.0340659554389054,0.9976403168717344
Tanh,52,0.032270896208182534,0.9979770734996628,0.03331901743069567,0.9976403168717344
Tanh,53,0.03169768856593425,0.9964036862216228,0.032959534558394364,0.995617731333221
Tanh,54,0.031194941261728927,0.9985389975275343,0.032250403145870764,0.9978088656666105
Tanh,55,0.03052357471630418,0.9974151494717914,0.031746822340421206,0.9967975728973538
Tanh,56,0.030009282624937933,0.9975275342773657,0.03123564533796164,0.9969661216922299
Tanh,57,0.029531957174149786,0.9963474938188357,0.030803593541078665,0.995617731333221
Tanh,58,0.02902715479559373,0.9966846482355586,0.0303912914353553,0.9957862801280971
Tanh,59,0.028503863956107274,0.9974713418745785,0.029666879441809742,0.997134670487106
Tanh,60,0.028195735317777675,0.99960665318049,0.029134878393587492,0.9986516096409911
Tanh,61,0.02758300649031009,0.9974713418745785,0.02877208158297894,0.9966290241024777
Tanh,62,0.027128732479202347,0.9969094178467072,0.02838176345749963,0.9962919265127255
Tanh,63,0.02673062556042965,0.9982580355135986,0.027762919257366656,0.9978088656666105
Tanh,64,0.026350971998209592,0.9988761519442572,0.027299272134871086,0.9979774144614866
Tanh,65,0.025887217767543803,0.9973027646662171,0.027231845819867435,0.9967975728973538
Tanh,66,0.02546841266787706,0.99803326590245,0.026533357268758447,0.9973032192819822
Tanh,67,0.025072581011606844,0.9973027646662171,0.02628624527790838,0.9967975728973538
Tanh,68,0.024679887455839093,0.9976961114857271,0.02584339645584052,0.9973032192819822
Tanh,69,0.024332950594782955,0.9982580355135986,0.025356568206129377,0.9978088656666105
Tanh,70,0.023940395328340285,0.99763991908294,0.02510371364950261,0.997134670487106
Tanh,71,0.023603405677968144,0.9973027646662171,0.024821081208004168,0.9967975728973538
Tanh,72,0.023252807386311438,0.9977523038885143,0.024429062471992675,0.9973032192819822
Tanh,73,0.022920951281954236,0.9967970330411329,0.02417364089564973,0.9962919265127255
Tanh,74,0.022573146819117842,0.9973027646662171,0.023771593751205803,0.9966290241024777
Tanh,75,0.022256918976257388,0.9976961114857271,0.02338763691050671,0.997134670487106
Tanh,76,0.02203115319931054,0.99921330636098,0.022936906580285587,0.9984830608461149
Tanh,77,0.021679364900110503,0.9971903798606429,0.02300409196892611,0.9962919265127255
Tanh,78,0.021384354315410407,0.9989885367498315,0.022371227881134437,0.9981459632563627
Tanh,79,0.021302825190261315,0.9969656102494943,0.022775533278276795,0.9962919265127255
Tanh,80,0.020715232101304503,0.99803326590245,0.02178104698001305,0.9974717680768582
Tanh,81,0.020439100642482652,0.9976961114857271,0.021616437190561555,0.9973032192819822
Tanh,82,0.020155900189490275,0.9973589570690042,0.021385351522054532,0.9967975728973538
Tanh,83,0.02008171822101205,0.9982018431108114,0.02087496849899532,0.9978088656666105
Tanh,84,0.019615018720335643,0.9983142279163857,0.02059024043354417,0.9976403168717344
Tanh,85,0.019394642280299627,0.9972465722634299,0.02063381913995216,0.9964604753076015
Tanh,86,0.019165373364978387,0.9975275342773657,0.020471226152582497,0.9969661216922299
Tanh,87,0.018854626639227393,0.9982580355135986,0.019845187766806396,0.9978088656666105
Tanh,88,0.018612472280409808,0.9987637671386829,0.01954092194227634,0.9976403168717344
Tanh,89,0.018574196899710935,0.9969656102494943,0.02021189213009229,0.9959548289229732
Tanh,90,0.018164768202022678,0.9969656102494943,0.0195181298945386,0.9962919265127255
Tanh,91,0.01799366997513563,0.9989885367498315,0.01884260699103972,0.9986516096409911
Tanh,92,0.017691780249576204,0.9977523038885143,0.01889967581330023,0.9973032192819822
Tanh,93,0.01740860461482272,0.9973027646662171,0.018638634190071356,0.9967975728973538
Tanh,94,0.017205767294886154,0.9985389975275343,0.018220260202304047,0.9974717680768582
Tanh,95,0.017041971920018512,0.9989323443470443,0.01785779843022014,0.9979774144614866
Tanh,96,0.016892735034496363,0.9972465722634299,0.018337760431698505,0.9964604753076015
Tanh,97,0.016598277834366425,0.9970218026522815,0.017944134091196978,0.9966290241024777
Tanh,98,0.01634079922509548,0.9978084962913014,0.01753468826132011,0.9973032192819822
Tanh,99,0.016301134194440074,0.9994942683749157,0.016990777815808385,0.9991572560256194
Tanh,100,0.016100457578639718,0.9991571139581928,0.01684461629394915,0.9988201584358671
Tanh,101,0.015720397023272662,0.9983142279163857,0.016685579243507786,0.9981459632563627
Tanh,102,0.015588237910906898,0.9982018431108114,0.016609216040728163,0.9976403168717344
Tanh,103,0.01536890813602101,0.9970218026522815,0.016603723524338025,0.9962919265127255
Tanh,104,0.015154474993454724,0.9983142279163857,0.016119087525540754,0.9978088656666105
Tanh,105,0.015016128198095838,0.9971903798606429,0.01631735927050095,0.9966290241024777
Tanh,106,0.014900243142723996,1.0,0.015647837662440253,1.0
Tanh,107,0.014726482103991518,0.9985389975275343,0.015555055992689465,0.9978088656666105
Tanh,108,0.014435238306283862,0.9985389975275343,0.015381440554848032,0.9978088656666105
Tanh,109,0.01429075830553421,0.9987637671386829,0.015170069620052821,0.9981459632563627
Tanh,110,0.01408921365997122,0.99842661272196,0.01503713270481863,0.9981459632563627
Tanh,111,0.013956771684578356,0.9979208810968757,0.01510240544583134,0.9973032192819822
Tanh,112,0.014168262341437466,0.9973027646662171,0.01572395518277677,0.9964604753076015
Tanh,113,0.013672937940945618,0.9973589570690042,0.014985606899145087,0.9967975728973538
Tanh,114,0.013640561798508623,0.9997190379860643,0.014198623257342616,0.9991572560256194
Tanh,115,0.01333146386975199,0.9985389975275343,0.014226417359612312,0.9978088656666105
Tanh,116,0.013250068409034555,0.9975837266801528,0.01461890085106954,0.9967975728973538
Tanh,117,0.013107066295957575,0.9980894583052371,0.014215809447755346,0.9974717680768582
Tanh,118,0.01286156534270636,0.9977523038885143,0.013856009753586812,0.9973032192819822
Tanh,119,0.012701507543657094,0.9991571139581928,0.013580861545838126,0.9981459632563627
Tanh,120,0.012622379044129214,0.9979770734996628,0.01379473049800883,0.9973032192819822
Tanh,121,0.01240128546369911,0.9978646886940885,0.013440641160179912,0.9973032192819822
Tanh,122,0.012300925954335398,0.9978646886940885,0.013485232451725638,0.9967975728973538
Tanh,123,0.01211317794935975,0.9982018431108114,0.013125224040828016,0.9974717680768582
Tanh,124,0.012297030510485855,0.9998876151944257,0.012818094945775547,0.9998314512051238
Tanh,125,0.011874408386985714,0.9990447291526185,0.012687174950592272,0.9981459632563627
Tanh,126,0.011882559755442171,0.9976961114857271,0.013165971490435732,0.9973032192819822
Tanh,127,0.011669194952865005,0.9991009215554058,0.012536170664233418,0.9986516096409911
Tanh,128,0.011453371342043403,0.9980894583052371,0.0124572047507103,0.9974717680768582
Tanh,129,0.011680847019409453,0.9973589570690042,0.013256006815024979,0.9966290241024777
Tanh,130,0.011247087960287946,0.9984828051247472,0.012184429189847844,0.9981459632563627
Tanh,131,0.011225046171083351,0.9994380759721285,0.01189793890545757,0.9991572560256194
Tanh,132,0.011069126629357372,0.9998314227916386,0.011672061641773219,0.9991572560256194
Tanh,133,0.010860706910101749,0.9981456507080243,0.011831677957913143,0.9974717680768582
Tanh,134,0.010750425191635835,0.9989323443470443,0.011575445640507788,0.9981459632563627
Tanh,135,0.010669447795505414,0.9987075747358957,0.011637699241684554,0.9976403168717344
Tanh,136,0.010656743794297745,1.0,0.011246912901442413,1.0
Tanh,137,0.010386282051759706,0.9987075747358957,0.011288085937272142,0.9976403168717344
Tanh,138,0.010337840296638546,0.9999438075972129,0.011034098794604798,0.9996629024102478
Tanh,139,0.010219393883271312,0.9975837266801528,0.01134286592890779,0.9967975728973538
Tanh,140,0.010049120868023311,0.9987637671386829,0.010924092453536706,0.9978088656666105
Tanh,141,0.010063518224712936,1.0,0.010801988728643788,1.0
Tanh,142,0.00988622454923792,0.9978646886940885,0.01098705016421587,0.997134670487106
Tanh,143,0.009767489492474184,0.9998314227916386,0.010506699365656728,0.9988201584358671
Tanh,144,0.009652819019813429,0.9990447291526185,0.010466400311513904,0.9981459632563627
Tanh,145,0.00955338448690182,0.9981456507080243,0.010522662485321221,0.9976403168717344
Tanh,146,0.00954511193990703,0.9971341874578556,0.010549834402975845,0.9962919265127255
Tanh,147,0.009343884968996474,0.9989323443470443,0.010191874198604704,0.9976403168717344
Tanh,148,0.009292107955575309,0.9991571139581928,0.010035697258435448,0.9979774144614866
Tanh,149,0.009230544657102543,0.9978084962913014,0.010153400668926827,0.9974717680768582
Tanh,150,0.009056528871118871,0.99921330636098,0.009832195570555542,0.9981459632563627
