epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,0.38821815402917476,0.3926645384999143,0.8721666666666666,0.8646666666666667
2,0.32157840028671036,0.32682219571869403,0.875875,0.8743333333333333
3,0.29026201417327196,0.2968974678278489,0.8770833333333333,0.8746666666666667
4,0.2739452921843678,0.2818618925772824,0.8782916666666667,0.8735
5,0.2662061470189152,0.2748803492435764,0.8797083333333333,0.8721666666666666
6,0.2624362744204009,0.2715895520702293,0.8804166666666666,0.8726666666666667
7,0.26027517565587915,0.2695898360565183,0.8805,0.8715
8,0.258891274335461,0.26827509925726256,0.8807083333333333,0.8728333333333333
9,0.2578702749356243,0.26718401486736004,0.8805833333333334,0.8723333333333333
10,0.2570924650071199,0.2664881544764224,0.8800416666666667,0.8725
11,0.2564263641295667,0.26574659364593817,0.8805,0.8723333333333333
12,0.2558858918632027,0.2648835389635411,0.8804583333333333,0.8725
13,0.25533142521734686,0.26432410505907705,0.8805,0.8718333333333333
14,0.2548841191244685,0.26389100744374533,0.880125,0.8718333333333333
15,0.2544652457047437,0.2634127162845513,0.88025,0.8718333333333333
16,0.2540707889369961,0.2628997592040892,0.8805416666666667,0.871
17,0.2536758865026803,0.26265090647428324,0.88025,0.873
18,0.2533422207879024,0.26210116037547465,0.881,0.8718333333333333
19,0.2529530106376906,0.262114777189074,0.880375,0.8733333333333333
20,0.2525830344462694,0.2616109220001887,0.880375,0.873
21,0.2522224473080344,0.2613219398166851,0.8807916666666666,0.8728333333333333
22,0.25187583716341694,0.2610656213802854,0.8814583333333333,0.8733333333333333
23,0.2515339734883935,0.2606634281515361,0.8814166666666666,0.8728333333333333
24,0.25121087292259686,0.2604482335605359,0.881625,0.8735
25,0.25092987716168563,0.260047173536658,0.881375,0.8725
26,0.25056896104346976,0.25989805004027283,0.8819166666666667,0.8736666666666667
27,0.2502936702724106,0.25968241682556464,0.8819583333333333,0.8735
28,0.250035622308436,0.25970167572270814,0.8816666666666667,0.8743333333333333
29,0.24975158286773078,0.25938277127852494,0.8822916666666667,0.8745
30,0.2495138792831667,0.2592610322547653,0.8829166666666667,0.8743333333333333
31,0.24928450885612558,0.25907717214164705,0.88275,0.8745
32,0.2491001773422521,0.2588518805686898,0.88275,0.8745
33,0.24887723202856446,0.2588725559098847,0.8822916666666667,0.8741666666666666
34,0.24872221987552387,0.25883272634505794,0.8822083333333334,0.874
35,0.24853623637380287,0.25861798824374604,0.8822083333333334,0.8741666666666666
36,0.24839841577837216,0.2585068261564066,0.882,0.8743333333333333
37,0.24832962819965698,0.25838215947513465,0.88225,0.8736666666666667
38,0.2482094512529398,0.2588278431840751,0.8823333333333333,0.8733333333333333
39,0.24801011409370588,0.25837633820458217,0.882375,0.873
40,0.24789888635868612,0.258394906037946,0.8824583333333333,0.8731666666666666
41,0.24779531969960839,0.25830213087136566,0.8822083333333334,0.8723333333333333
42,0.24771457921936701,0.2584133251705781,0.8822916666666667,0.8718333333333333
43,0.2476404120797199,0.2582378525100242,0.88225,0.8726666666666667
44,0.24758649160330617,0.25851738456055423,0.88225,0.872
45,0.24746424394386593,0.25827094717483434,0.8824583333333333,0.8725
46,0.24738678841544717,0.25824059811740485,0.882375,0.8725
47,0.24734194661625006,0.25829784092827385,0.8821666666666667,0.8718333333333333
48,0.24734934590041785,0.2585107571418251,0.8823333333333333,0.8728333333333333
49,0.2472041641867277,0.2581957043840878,0.8817083333333333,0.8721666666666666
50,0.2471549478271254,0.2582502687540835,0.8819583333333333,0.8716666666666667
51,0.2470995741254502,0.2581648174298895,0.881625,0.8716666666666667
52,0.24705234527235267,0.2580898081036762,0.8812916666666667,0.8723333333333333
53,0.24707039480021678,0.2580382706573754,0.881375,0.8723333333333333
54,0.2469511240342088,0.25813384208626666,0.8815416666666667,0.8723333333333333
55,0.246905494375633,0.2581177106928468,0.8813333333333333,0.8721666666666666
56,0.24686416619661727,0.25808935859948995,0.8814166666666666,0.8721666666666666
57,0.24682028679039467,0.2580904138868684,0.88125,0.872
58,0.2467758232233773,0.2580979655244015,0.88125,0.8723333333333333
59,0.24674605891995569,0.2581060190494375,0.8812083333333334,0.872
60,0.24673068285361963,0.2579385068380501,0.8810833333333333,0.872
