epoch,train_loss,accuracy
1,0.6774144285434002,0.7916666666666666
2,0.5876492084683599,0.8537414965986394
3,0.5178344636350065,0.8707482993197279
4,0.45469466173971024,0.8898809523809523
5,0.40073428927241145,0.8983843537414966
6,0.35691572766046264,0.9043367346938775
7,0.32261004480155736,0.905187074829932
8,0.2972565204710574,0.9090136054421769
9,0.2783321669778308,0.9115646258503401
10,0.26126026986418543,0.9170918367346939
11,0.24837411174903046,0.9183673469387755
12,0.2365373139445846,0.9221938775510204
13,0.2306820879111419,0.9243197278911565
14,0.22278955699624242,0.9264455782312925
15,0.21201680197909073,0.9277210884353742
16,0.20687812607030612,0.9311224489795918
17,0.2001362704747432,0.9336734693877551
18,0.1931699550635106,0.9379251700680272
19,0.18745166023035306,0.9417517006802721
20,0.18026641172331734,0.9451530612244898
21,0.17491945825718544,0.9464285714285714
22,0.1703135637012688,0.9502551020408163
23,0.162836860563304,0.9532312925170068
24,0.157696363490981,0.9570578231292517
25,0.1514584224771809,0.9625850340136054
26,0.14607906200595805,0.9655612244897959
27,0.14030988272782918,0.9689625850340136
28,0.13738590962178,0.9710884353741497
29,0.1305928427625347,0.9749149659863946
30,0.128381777856801,0.9766156462585034
